latitude, longitude, name
43.16108, -4.80563, I00
43.16566,-4.80005, I01
43.16964,-4.79841, I02
43.16851,-4.78572, I03
43.20327,-4.76692, I04
43.21062,-4.76279, I05
43.19916,-4.73676, I06
43.20598,-4.71808, I07
43.21227,-4.71363, I08
43.21223,-4.71179, I09
43.21310,-4.71189, I010
43.21360,-4.71265, I011
43.21418,-4.71278, I10
43.22626,-4.72301, I11
43.22826,-4.72356, I12
43.22800,-4.74215, I13
43.22944,-4.74575, I14
43.23261,-4.74719, I15
43.22925,-4.75395, I16
43.22750,-4.75491, I17
43.22712,-4.75635, I18
43.23144,-4.76212, I19
43.23335,-4.77071, I20
43.23256,-4.77978, I21
43.23252,-4.78601, I22
43.22742,-4.79066, I23
43.22642,-4.79323, I30
43.21657,-4.80761, I31
43.20545,-4.81725, I32
43.20442,-4.81974, I33
43.20282,-4.82183, I40
43.20324,-4.82235, I41
43.20924,-4.83969, I42
43.21428,-4.85765, I50
43.21614,-4.85682, I51
43.21689,-4.85625, I52
43.22140,-4.85963, I53
43.22623,-4.85777, I54
43.22913,-4.85699, I55
43.23108,-4.85635, I56
43.23423,-4.85583, I57
43.23521,-4.85414, I58
43.23673,-4.82767, I59
43.23515,-4.82367, I510
43.23562,-4.81946, I511
43.23806,-4.82353, I512
43.23890,-4.82721, I513
43.25417,-4.83710, I514
43.25393,-4.83763, I515
43.22784,-4.89514, I516
43.22900,-4.90573, I517
43.23809,-4.92065, I518
43.24055,-4.92150, I519
43.242531, -4.923672, I60
43.23941,-4.92645, I61
43.23898,-4.92704, I62
43.23679,-4.93326, I63
43.23473,-4.93566, I64
43.23212,-4.94266, I65
43.23135,-4.94492, I66
43.23234,-4.94880, I67
43.23333,-4.95112, I68
43.23023,-4.95904, I69
43.23001,-4.98069, I610
43.23314,-4.99137, I611
43.23243,-4.99152, I70
43.22900,-4.98931, I71
43.22307,-4.98497, I72
43.21443,-4.98264, I73
43.21269,-4.98068, I74
43.21148,-4.98239, I75
43.20069,-4.97477, I76
43.19846,-4.97313, I77
43.19817,-4.97313, I78
43.19737,-4.97306, I79
43.19724,-4.97295, I710
43.19649,-4.97196, I711
43.19689,-4.97092, I712
43.19445,-4.96444, I713
43.19255,-4.96159, I714
43.19167,-4.96070, I715
43.17698,-4.96322, I716
43.16884,-4.96773, I717
43.16714,-4.97199, I718
43.16560,-4.99099, I719
43.16503,-5.00246, I80
43.16135,-4.99997, I81
43.15331,-4.98477, I82
43.15315,-4.98346, I83
43.15207,-4.96951, I84
43.15275,-4.96783, I85
43.15334,-4.96736, I86
43.15188,-4.96431, I87
43.15118,-4.96255, I88
43.14101,-4.95027, I89
43.14343,-4.93964, I810
43.14726,-4.92998, I811
43.15047,-4.92086, I812
43.15077,-4.91859, I813
43.15153,-4.91744, I814
43.15535,-4.91517, I815
43.16657,-4.90398, I816
43.16816,-4.90219, I817
43.16840,-4.90003, I818
43.16997,-4.88729, I819
43.16988,-4.88499, I820
43.17015,-4.88262, I821
43.16897,-4.87810, I822
43.17195,-4.87930, I823
43.17280,-4.88030, I824
43.17331,-4.86855, I825
43.17376,-4.86866, I90
43.17192,-4.86475, I91
43.16686,-4.85918, I92
43.16692,-4.85845, I93
43.16639,-4.85763, I94
43.16726,-4.85851, I95
43.16789,-4.85032, I96
43.16623,-4.84585, I97
43.16722,-4.84287, I98_???
43.16667,-4.83993, I99
43.16698,-4.83976, I910
43.16790,-4.83898, I911
43.16817,-4.83831, I912
43.16966,-4.83725, I913
43.17046,-4.83748, I914
43.17371,-4.83853, I915
43.17529,-4.83728, I916
43.17607,-4.83614, I917
43.17639,-4.83498, I918
43.17663,-4.83427, IA0
43.17795,-4.83289, IA1
43.17787,-4.83120, IA2
43.17494,-4.82621, IA3
43.17408,-4.82239, IA4
43.16906,-4.81518, IA5
43.16552,-4.81265, IA6
43.16057,-4.80671, IA7
